Date,1,2,3
30-Jun,,A,B
1-Jul,A,C,D
2-Jul,A,C,E
3-Jul,A,C,B
4-Jul,A,C,B
5-Jul,E,F,B
6-Jul,E,A,B
7-Jul,E,A,B
8-Jul,,A,C
9-Jul,E,A,C
10-Jul,B,A,
11-Jul,B,A,E
12-Jul,B,E,A
13-Jul,B,E,A
14-Jul,B,A,E
15-Jul,C,A,E
16-Jul,C,A,E
17-Jul,C,B,A
18-Jul,C,B,A
19-Jul,C,B,E
20-Jul,C,B,E
21-Jul,A,B,E
22-Jul,A,C,E
23-Jul,A,C,E
24-Jul,A,C,B
25-Jul,A,C,B
26-Jul,E,C,B
27-Jul,E,G,B
28-Jul,E,G,B
29-Jul,E,G,C
30-Jul,E,G,C
31-Jul,B,G,C
1-Aug,B,C,C
2-Aug,B,E,C
3-Aug,B,E,C
4-Aug,B,E,C
5-Aug,C,E,C
6-Aug,C,E,C
7-Aug,C,B,E
8-Aug,C,B,
9-Aug,C,E,E
10-Aug,C,E,E
11-Aug,E,E,E
